
attendance,avg_marks,fee_delay_count,backlogs,extracurricular_score,dropout
92,85,0,0,8,0
88,78,0,1,7,0
75,72,1,1,6,0
60,48,2,3,3,1
55,45,3,4,2,1
40,35,4,5,1,1
68,66,1,0,6,0
73,70,0,0,7,0
58,52,2,2,4,1
49,40,3,4,2,1
95,90,0,0,9,0
82,75,0,1,7,0
77,69,1,1,6,0
64,55,2,2,4,1
52,47,3,3,3,1
46,38,4,5,1,1
70,72,0,0,6,0
85,80,0,0,8,0
63,50,2,3,3,1
59,44,3,4,2,1
91,88,0,0,9,0
87,76,1,1,7,0
74,68,1,1,6,0
62,53,2,2,4,1
50,41,3,4,2,1
43,36,4,5,1,1
72,74,0,0,7,0
83,79,0,1,8,0
67,60,1,2,5,0
54,46,3,3,3,1
47,39,4,5,1,1
90,92,0,0,9,0
86,81,0,1,8,0
76,70,1,1,6,0
65,58,2,2,4,1
53,43,3,4,2,1
45,34,5,6,1,1
69,71,0,0,6,0
81,77,0,1,7,0
61,54,2,3,3,1
48,37,4,5,1,1
93,89,0,0,9,0
84,76,0,1,8,0
79,73,1,1,6,0
66,57,2,2,4,1
51,42,3,4,2,1
44,33,5,6,1,1
71,75,0,0,7,0
89,84,0,0,8,0
57,49,2,3,3,1
42,30,5,6,1,1

